lipid,sEVp_2D_S1,sEVp_2D_S2,sEVp_2D_S3,Exomere_2D_S4,Exomere_2D_S5,Exomere_2D_S6,Supermere_2D_S7,Supermere_2D_S8,Supermere_2D_S9,sEVp_3D_S10,sEVp_3D_S11,sEVp_3D_S12,Exomere_3D_S13,Exomere_3D_S14,Exomere_3D_S15,Supermere_3D_S16,Supermere_3D_S17,Supermere_3D_S18,Exomere_FPLC_S19,Exomere_FPLC_S20,Exomere_FPLC_S21,Exomere_FPLC_S22,Supermere_FPLC_S23,Supermere_FPLC_S24,Supermere_FPLC_S25,Supermere_FPLC_S26,sEV_3D_W_S1,sEV_3D_W_S2,sEV_3D_W_S3,sEV_3D_W_S4,hEV_3D_W_S5,hEV_3D_W_S6,hEV_3D_W_S7,hEV_3D_W_S8,NV_3D_W_S9,NV_3D_W_S10,NV_3D_W_S11,NV_3D_W_S12
Fatty acyls [FA],9.61009596,9.548499844,9.625708158,9.617751474,9.618381096,9.545195106,9.58449448,9.638295761,9.611032882,9.589056558,9.596125046,9.604292923,9.586968456,9.585107087,9.649849255,9.576855556,9.635145774,9.907378574,9.696271176,9.63589989,9.739047393,9.639162734,9.78146669,9.816879589,9.74525267,9.670210101,9.627978615,9.532531688,9.53960159,9.639351925,9.674060447,9.713472104,9.726647326,9.670646551,9.649606333,9.703620194,9.687378102,9.717276518
Glycerolipids [GL],10.61363917,10.61128094,10.58073907,10.43439568,10.38160002,10.63137175,10.29619192,10.32434425,10.33846301,10.41669992,10.49657585,10.49057731,10.34573408,10.67822816,10.34387235,10.33617574,10.41763062,10.65870734,10.60820243,10.63839137,10.5589847,10.56813896,10.42901419,10.52961022,10.42658581,10.40577374,10.64733435,10.65056148,10.49067104,10.54806609,10.55033802,10.53014068,10.54099367,10.4695121,10.46364854,10.4429297,10.44958329,10.50212725
Glycerophospholipids [GP],11.35065889,11.354805,11.35134618,10.64787033,10.59333853,10.40027504,9.619797403,9.710097923,9.734478297,10.5015923,10.93816361,10.95748191,10.08322031,9.986748809,10.10742875,9.742816616,9.799328602,9.759851143,10.33790544,10.22945441,10.41906752,9.981619285,9.838210121,9.801078812,9.732425258,9.789739432,10.24567451,10.65635795,10.28605047,10.10484673,10.15579732,10.19694063,10.21743478,10.20921959,10.20842645,9.859356251,10.01396611,10.14782102
Prenol Lipids [PR],7.056349972,7.142097126,7.426354415,6.314493544,6.384480117,6.284010224,0,5.975293456,6.168484519,6.79936378,7.33940314,7.366397534,5.353094543,6.475310967,6.56020921,7.12779041,7.140224496,7.071897391,6.765848791,6.753759575,6.654329914,6.49883346,7.238613002,7.204580633,6.730679179,7.338389711,7.228591899,7.573416091,6.515714926,6.486043054,7.264118613,7.66109075,7.719127726,7.761464218,8.038914123,7.662077108,7.790994188,7.777641241
Sphingolipids [SP],11.07868931,11.09106579,11.12529214,10.39545003,10.347109,10.2454091,9.905045622,9.940482357,9.915678648,10.37506103,10.76188518,10.79743184,10.11019797,10.04739318,10.11112041,9.915275833,9.94996544,9.903359595,10.3080412,10.29929194,10.38663871,10.07857317,9.90927976,9.904777431,9.912869435,9.928508838,10.4227182,10.74900178,10.25821116,10.27894033,10.32492285,10.41339595,10.45975369,10.40536107,10.08378605,9.943848552,9.943704253,9.981153815
Sterol Lipids [ST],9.000566958,9.094657683,9.021618291,9.65691194,9.629385496,9.172264527,9.068621615,9.109335534,8.864463541,8.419278456,8.553423531,8.422939593,8.427078437,8.455219294,8.463196259,8.35594154,8.441106182,8.311836842,8.312602458,8.460427461,8.374377293,8.342164232,8.332065348,8.428273215,8.309506205,8.370048609,8.376470907,8.21264239,8.155059972,8.366246701,8.328720782,8.421393766,8.447632679,8.365978797,8.365405208,8.414044229,8.422533398,8.371229146
