rna,Exomere_2D_S4,Exomere_2D_S5,Exomere_2D_S6,sEVp_2D_S1,sEVp_2D_S2,sEVp_2D_S3,Supermere_2D_S7,Supermere_2D_S8,Supermere_2D_S9,Exomere_3D_S13,Exomere_3D_S14,Exomere_3D_S15,sEVp_3D_S10,sEVp_3D_S11,sEVp_3D_S12,Supermere_3D_S17,Supermere_3D_S18,Exomere_FPLC_S19,Exomere_FPLC_S20,Exomere_FPLC_S21,Exomere_FPLC_S22,Supermere_FPLC_S23,Supermere_FPLC_S24,Supermere_FPLC_S25,Supermere_FPLC_S26,NV_3D_W_S9,NV_3D_W_S10,NV_3D_W_S11,NV_3D_W_S12,sEV_3D_W_S1,sEV_3D_W_S2,sEV_3D_W_S3,sEV_3D_W_S4,hEV_3D_W_S5,hEV_3D_W_S6,hEV_3D_W_S7,hEV_3D_W_S8
RNY4P25:ENSG00000238711.1,311.4080267,383.2425576,197.8096182,93.96636631,72.44218116,82.26955518,1199.258679,1048.150987,367.6138441,1469.579982,711.1616998,497.1708316,76.12374497,76.90263539,55.93641817,98.22558694,13.64500634,34.88433208,396.0849301,165.195204,51.46483276,7.235185262,319.0066747,74.14750682,30.33068884,8.341293235,8.220222099,13.39865642,15.48632207,28.75479109,19.93757938,27.96487948,53.25754276,9.753727353,4.925623091,3.248133184,7.944044821
RNY4P16:ENSG00000201638.2,310.8448,382.9068952,204.1207729,59.51203199,54.70123884,63.9461629,1198.343505,1047.923375,368.1088802,1479.152234,719.1214617,548.6851245,64.47766038,76.41876814,54.56684092,99.40083011,22.04745762,3.79851616,311.5724021,140.2927795,31.69068064,7.915416356,322.2824146,74.27447172,30.03477968,8.246863501,8.17828219,13.29356892,15.21188092,5.02342736,3.838250577,2.751564447,6.113327039,6.614596711,3.79406103,2.860296386,2.301545696
RNY4P29:ENSG00000222733.1,319.0679094,392.4732739,176.7123299,55.64674884,52.31935306,57.75582767,1228.773026,1071.139749,367.0693043,1468.38345,711.6457394,345.716237,63.86064928,64.96724315,45.55646428,97.17405358,7.109766464,0.503884797,311.1401129,135.5494606,27.26751503,6.245758218,315.7309348,71.92562091,30.18273426,8.215386922,8.094402373,12.50541266,14.46696922,5.081167904,3.358469254,2.526946941,5.810414438,6.315631888,3.727498556,2.811816786,2.153058877
RNY4P30:ENSG00000222148.1,319.0679094,392.4732739,176.6402024,55.58010603,52.11401808,57.26060086,1228.773026,1071.139749,367.0693043,1468.38345,711.6457394,345.0299516,63.86064928,64.74143844,45.55646428,97.17405358,7.037950641,0.503884797,311.1401129,135.2758076,27.21547779,6.245758218,315.7309348,71.92562091,30.18273426,8.215386922,8.094402373,12.50541266,14.46696922,5.081167904,3.305160219,2.526946941,5.782876929,6.315631888,3.727498556,2.811816786,2.153058877
RNY1P7:ENSG00000207474.1,2.928778692,3.356624109,4.363712635,1230.559542,1072.834207,612.7812842,0.991438018,0.606964017,1.782130136,10.05086455,9.089187572,12.31024318,78.514663,23.38691722,26.63467334,0.618549036,0.215447469,14.76770058,418.672038,66.31524754,28.98474403,0.432874332,2.141829964,2.793227996,0.887727478,0.062953156,0.041939909,0.420350005,0.548882301,33.66273736,19.5111071,22.12482433,57.88384431,2.802795216,1.464374433,0.775673596,5.939472763
RNY4P14:ENSG00000200526.1,41.00290169,47.58014674,15.43528106,24.92441206,22.62791486,14.9187079,130.4122315,115.9301272,8.712636218,99.07280774,77.71524285,208.4162773,5.630226325,9.161219988,7.821006922,10.2060591,100.1830729,79.03239235,34.69120397,41.77769378,19.30581694,28.56970591,93.23259845,81.51147153,46.30978345,0.188859469,0.209699543,1.418681269,1.529029268,0.692886532,0.906253608,0.561543765,1.046425349,0.186853014,0.199687423,0.193918399,0.148486819
RNY4P17:ENSG00000201818.1,8.279432072,7.552404245,11.86497072,8.396994436,9.815012073,7.428402273,1.601553721,1.745021548,3.168231352,254.621902,269.0184393,188.5997883,6.941374921,8.870899636,8.902252118,18.61832599,37.84693865,9.147447079,12.64445752,15.59822191,8.221884304,11.99680291,42.83659929,22.21885906,7.249774406,0.094429735,0.041939909,0,0.117617636,0.057740544,0.159927107,0.168463129,0.523212675,0.411076632,0.133124948,0.290877599,0.296973638
RNY3P8:ENSG00000223298.1,0.168968001,0.335662411,0.504892371,236.3154148,150.3052058,121.5781839,0.305057852,0.227611506,0.19801446,2.393062989,2.097504824,0.471821167,30.15641771,3.677391122,3.496026136,0,0,5.581493133,144.6007194,24.26390075,10.56356021,0,0.251979996,0.126964909,1.035682058,0.031476578,0,0.157631252,0.078411757,9.52718982,5.970612008,13.3647416,21.03865702,1.121118087,0.199687423,0.242397999,2.598519334
RNY3P2:ENSG00000199788.1,0.168968001,0,0.504892371,234.5160589,151.9478857,120.7734403,0.152528926,0,0.09900723,2.393062989,1.989940474,0.471821167,30.15641771,3.677391122,3.387901616,0,0,5.581493133,144.6007194,24.26390075,11.50023058,0,0.251979996,0.126964909,1.035682058,0.031476578,0,0.157631252,0.078411757,9.353968187,5.970612008,13.47705035,20.90096947,1.121118087,0.199687423,0.242397999,2.598519334
RNY4P18:ENSG00000212409.1,0.337936003,0.671324822,0.432764889,34.98747682,20.0817611,25.31847108,0.457586777,0.151741004,0.297021689,0.478612598,0.32269305,0.214464167,12.26309569,4.161258375,3.856441201,0,0,32.71375142,87.21433523,26.08825419,20.08637558,0,0.251979996,0.126964909,0.295909159,0.125906313,0,0,0.078411757,23.15395829,16.25925591,25.10100628,48.2732536,3.213871848,1.26468701,0.387836798,5.716742535
