rna,Exomere_2D_S4,Exomere_2D_S5,Exomere_2D_S6,sEVp_2D_S1,sEVp_2D_S2,sEVp_2D_S3,Supermere_2D_S7,Supermere_2D_S8,Supermere_2D_S9,Exomere_3D_S13,Exomere_3D_S14,Exomere_3D_S15,sEVp_3D_S10,sEVp_3D_S11,sEVp_3D_S12,Supermere_3D_S17,Supermere_3D_S18,Exomere_FPLC_S19,Exomere_FPLC_S20,Exomere_FPLC_S21,Exomere_FPLC_S22,Supermere_FPLC_S23,Supermere_FPLC_S24,Supermere_FPLC_S25,Supermere_FPLC_S26,NV_3D_W_S9,NV_3D_W_S10,NV_3D_W_S11,NV_3D_W_S12,sEV_3D_W_S1,sEV_3D_W_S2,sEV_3D_W_S3,sEV_3D_W_S4,hEV_3D_W_S5,hEV_3D_W_S6,hEV_3D_W_S7,hEV_3D_W_S8
RNU2-57P:ENSG00000252468.1,795.8956095,705.7302189,2195.055647,65.37659954,85.41935193,122.135314,1626.187142,1425.227382,8172.205255,2023.334757,1168.63288,1628.083276,162.7366787,187.1275956,132.9931592,137.9364351,14.4349804,3.643474684,176.914333,90.85280131,95.5403771,20.83980712,242.278766,94.14447997,225.4827795,18.3823217,32.58730903,66.15258211,97.30899082,1.039329799,7.943046332,1.628476918,1.184112895,5.680331639,2.0634367,1.793745191,2.524275924
RNU2-26P:ENSG00000222440.1,795.8956095,705.7302189,2195.055647,65.37659954,85.41935193,122.135314,1626.187142,1425.227382,8172.205255,2023.334757,1168.63288,1628.083276,162.7366787,187.1275956,132.9931592,137.9364351,14.4349804,3.643474684,176.914333,90.85280131,95.43630262,20.83980712,242.278766,94.14447997,225.4827795,18.3823217,32.58730903,66.15258211,97.30899082,1.039329799,7.943046332,1.628476918,1.184112895,5.680331639,2.0634367,1.793745191,2.524275924
RNU2-29P:ENSG00000222355.1,699.9781074,615.6048616,2036.88008,60.0451745,76.13821081,93.659772,1559.684531,1352.771052,7952.310198,2021.898919,1168.256405,1620.190995,138.0562345,184.3856812,131.0108763,137.1323213,14.39907248,1.938018449,172.6995139,82.91686385,91.42943495,20.90164631,243.9166359,94.33492734,221.4880058,17.02882883,26.21244292,52.49120693,68.80631704,0.577405444,2.985306004,0.898470023,1.211650404,2.316977379,1.863749278,1.745265591,1.63335501
RNU2-68P:ENSG00000222810.1,645.6830562,572.3883262,1910.043903,55.91332009,70.22456337,61.59383552,1507.672167,1301.179111,7710.732557,2013.762505,1164.92191,1612.641856,133.4286513,181.9986027,129.6412991,136.8230468,14.00408546,2.015539187,170.3219236,82.91686385,91.16924874,21.14900307,243.412676,95.41412906,218.3809597,12.96835024,22.56367086,47.39446312,59.78896495,0.288702722,1.652580109,0.393080635,0.578287693,1.083747484,1.597499381,1.648306392,1.410624781
RNU1-1:ENSG00000206652.1;RNU1-2:ENSG00000207005.1;RNU1-3:ENSG00000207513.1;RNU1-4:ENSG00000207389.1,1634.652769,1283.069566,1851.440324,487.0923201,502.7010995,735.4118251,1258.287373,995.2692466,3012.988016,580.5570811,219.3774918,323.1117138,717.5067877,380.9003015,228.4310685,70.51459012,10.73646552,649.817586,1912.663327,1804.194335,745.3814606,28.94074105,160.2592773,158.5791713,78.26797267,8.058004031,15.68552584,52.43866318,52.45746564,10.56651962,71.75396217,24.25869063,20.84589445,2.728054011,2.129999175,1.163510394,3.26671002
RNU2-4P:ENSG00000277084.1,348.0177603,299.8304485,1784.578149,31.52205054,40.32779019,31.2611929,811.4538851,711.5894392,7471.481586,1950.585642,1109.04223,1553.363961,123.6336,179.5792665,127.0823521,137.3797409,14.29134875,39.69061784,183.2905979,92.8595901,88.6714611,19.41750575,237.1131761,88.1136468,215.1259589,10.19841135,19.12459835,40.30105678,51.28128928,0.635145988,1.705889145,0.336926259,0.826125276,1.457453513,1.464374433,1.454387993,1.262137962
RNU2-59P:ENSG00000222414.1,349.1442137,300.4178577,1786.958356,31.38876491,40.45099118,31.75641972,812.9029099,713.3344608,7481.035784,1953.935931,1109.257359,1558.082172,121.9368195,176.9986411,126.2173559,137.6890154,13.53728261,2.558184353,167.079755,74.34240268,81.33420992,19.29382737,236.3572361,87.35185734,218.8248234,9.915122148,17.95028091,41.61465054,53.16317146,0.808367621,1.919125288,0.336926259,0.578287693,1.494824115,1.464374433,1.454387993,1.262137962
RNU2-2P:ENSG00000222328.1,460.944708,429.3122235,2859.061242,157.5436099,198.3535913,676.356027,56.20690915,48.70886235,774.6820692,69.87743928,51.20063059,60.52178789,255.5197235,80.25744835,48.07936974,2.845325566,1.579948103,74.65247066,194.8543326,314.3360977,180.9855292,0.927587854,2.141829964,4.189841995,4.438637392,10.51317713,15.0144873,33.36528169,30.03170305,113.2292075,347.7348404,78.84074456,178.305372,540.3789177,12.84655752,1.551347192,3.415196839
RNU7-1:ENSG00000238923.1,992.1801046,1223.657319,1766.257769,49.7821813,100.2034705,175.7436171,562.7554717,692.4700727,1958.462012,535.0888843,333.4494849,223.2143049,130.1122166,138.3860343,79.54360496,77.0712099,22.58607629,97.24976577,675.1275739,189.5503224,81.64643337,7.482542024,37.79699937,32.12212196,16.71886751,0,0,0.052543751,0.274441151,0.115481089,0.213236143,0.168463129,0.220300073,0.074741206,0.066562474,0.0484796,0.296973638
RNU2-36P:ENSG00000222293.1,456.9457986,426.2073462,2839.767141,138.0172657,163.9394485,612.8431875,55.36800006,47.72254582,772.5039102,67.96298889,49.53338316,54.17364855,248.9639805,64.38660245,38.31212147,2.721615759,1.041329432,39.22549341,175.5093933,290.5282853,170.7862297,0.371035142,0.881929985,1.967956088,3.846819073,9.442973474,12.41421297,28.68888787,28.30664439,112.6518021,346.5620416,77.82996578,176.3226713,539.7809881,12.77999505,1.502867593,3.26671002
RNVU1-18:ENSG00000206737.1;RNVU1-29:ENSG00000273768.1,817.3545457,641.5347828,925.7201622,244.7790521,250.8372123,371.0486935,629.1818188,497.6346233,1506.494008,291.2357658,110.0921122,163.8506235,359.0233362,191.64369,114.8282399,35.25729506,5.386186715,327.8352008,956.3316635,902.1427761,373.1070282,14.47037052,80.12963867,79.28958563,39.06000905,4.060478594,7.842762921,26.21933159,26.22873282,5.254389537,35.82367205,12.12934532,10.68455356,1.345341704,1.064999587,0.630234797,1.63335501
RNU1-27P:ENSG00000206596.1;RNU1-28P:ENSG00000206588.1,817.3545457,641.6186984,925.6840985,243.1796246,250.0569394,366.9630723,629.1818188,497.6346233,1506.494008,290.0392343,109.5542904,162.5209456,358.6377043,189.0630646,113.8551192,35.25729506,5.386186715,323.9591639,956.8720249,902.1427761,372.7427675,14.40853133,80.12963867,79.22610317,39.06000905,4.029002016,7.842762921,26.21933159,26.18952694,5.081167904,35.66374494,11.56780155,9.968578325,1.382712307,1.064999587,0.581755197,1.63335501
RNU2-6P:ENSG00000223336.1,763.5663986,634.1502098,637.3905547,63.37731515,97.69838378,114.211685,1085.090778,987.8339374,791.2657802,1750.28627,1028.476532,1159.908,122.7080833,118.192641,80.8771407,135.5240938,14.57861204,13.68241025,240.4608375,116.6674025,110.7352519,21.58187741,248.2002959,103.4764008,232.2886902,12.21291236,23.15082958,43.19096306,52.06540685,0.635145988,2.292288539,0.9546244,1.34933795,1.083747484,2.396249071,1.599826792,2.153058877
RNU2-64P:ENSG00000223247.1,95.57956616,62.68495523,716.4783382,7.264066615,8.090198236,7.676015682,115.6931902,95.59683265,3157.885097,37.57108893,12.6925933,101.3986581,5.553099937,19.29017448,13.65973098,0.865968651,0.394987026,0.77520738,3.566385455,2.73653016,1.457042788,0.123678381,0.62994999,0.761789454,2.515227855,1.416446021,0.964617899,1.839031274,2.822823263,0.115481089,0.426472286,0.112308753,0.247837583,0.26159422,0.266249897,0.0484796,0.07424341
