rna,Exomere_2D_S4,Exomere_2D_S5,Exomere_2D_S6,sEVp_2D_S1,sEVp_2D_S2,sEVp_2D_S3,Supermere_2D_S7,Supermere_2D_S8,Supermere_2D_S9,Exomere_3D_S13,Exomere_3D_S14,Exomere_3D_S15,sEVp_3D_S10,sEVp_3D_S11,sEVp_3D_S12,Supermere_3D_S17,Supermere_3D_S18,Exomere_FPLC_S19,Exomere_FPLC_S20,Exomere_FPLC_S21,Exomere_FPLC_S22,Supermere_FPLC_S23,Supermere_FPLC_S24,Supermere_FPLC_S25,Supermere_FPLC_S26,NV_3D_W_S9,NV_3D_W_S10,NV_3D_W_S11,NV_3D_W_S12,sEV_3D_W_S1,sEV_3D_W_S2,sEV_3D_W_S3,sEV_3D_W_S4,hEV_3D_W_S5,hEV_3D_W_S6,hEV_3D_W_S7,hEV_3D_W_S8
SNORA14B:ENSG00000207181.1,1.239098677,1.84614326,1.514677113,2.599069706,7.966997248,8.604565967,0,0,0.544539764,0,0,0,3.239308297,15.45149428,10.01953882,0,0,2.170580663,12.8606021,10.58124995,3.122234546,0,0.251979996,0,0,1.384969443,3.732651871,23.90740656,10.97764602,0,0.586399394,0.449235012,0,0,0,0,0.07424341
SNORD21:ENSG00000206680.1,1.464389346,0,0.108191222,23.39162736,17.16600438,23.52327387,0,0,0,0.717918897,1.61346525,0,21.36400948,9.935407593,7.172259804,0,0,0,23.55975846,7.023760744,4.110942152,0,0,0,0,0.094429735,0.125819726,0,0.274441151,0.635145988,0.319854215,0,1.376875459,0.112111809,0.066562474,0,1.262137962
SNORD43:ENSG00000263764.1,0.056322667,0,0.252446186,17.19384575,22.05297692,54.10352989,0.076264463,0,0,0,1.61346525,0.428928334,2.853676357,8.161227665,5.406225983,0,0.035907911,4.496202802,5.29554204,1.82435344,1.561117273,0,0,0,0,0.062953156,0,0.210175003,0.313647029,0.057740544,0.426472286,0.224617506,0.881200294,0,0.066562474,0.0969592,0
SNORA51:ENSG00000271798.1,7.096656061,7.468488642,5.698071044,9.196708192,6.77605436,16.09487159,7.626446289,8.64923724,6.633484394,3.589594484,1.667247425,1.844391835,13.88274984,4.032227107,2.739154498,0.927823554,0.071815823,0.077520738,18.37228871,5.47306032,3.746681455,0.927587854,0.503959992,0.063482454,1.331591217,1.196109973,1.25819726,6.410337584,3.528529079,0.115481089,0.426472286,0.393080635,0.165225055,0,0.066562474,0,0
SNORD34:ENSG00000202503.1,0,0.167831205,0.360637408,14.3948476,16.30359746,39.86575887,0,0,0,0.478612598,1.129425675,2.015963168,4.164824953,14.77408012,8.686003079,0,0,3.449672839,2.593734877,4.10479524,0.988707606,0.247356761,0,0.507859636,0,0.188859469,0.041939909,0,0.235235272,0,0.319854215,0.730006894,0.523212675,0.298964823,0,0,0
SNORA74A:ENSG00000200959.1,1.746002682,7.300657437,3.353927893,4.198497218,3.162158701,1.547583807,8.465355381,2.88307908,7.227527772,14.83699053,10.59508847,6.090782339,3.547813849,1.451601759,1.333535742,2.103066723,0.179539557,0.813967749,11.45566237,9.030549528,1.457042788,7.173346072,21.16631965,16.06106098,29.59091594,0.503625252,0.041939909,0.262718753,0.117617636,0,0.106618072,0,0.027537509,0,0.133124948,0,0.148486819
SNORA62:ENSG00000202363.1,5.069040044,4.783189355,1.406485891,18.72663045,18.27481327,46.11799745,0,0,0,7.657801565,1.5059009,0,2.699423581,0.838703238,0.901037664,0,0,3.643474684,6.916626338,3.831142224,0.832595879,0.247356761,0.377969994,0,0.295909159,0.188859469,0,0.315262504,0.431264665,0.461924355,0.106618072,0,0.440600147,0.747412058,1.198124536,1.502867593,1.484868191
SNORD66:ENSG00000212158.1,1.689680015,1.678312054,1.37042215,9.263351005,10.636352,18.19958557,0.457586777,0.151741004,0.495036149,0,3.764752249,0,4.704709669,17.80631491,8.649961573,0.123709807,0,1.472894021,10.37493951,3.010183176,4.995575273,0,0,0.063482454,0,0.062953156,0.083879817,0,0.235235272,0.346443266,1.01287168,0.617698141,0.715975239,0.52318844,0.066562474,0.145438799,0.371217048
SNORD63:ENSG00000206989.1,1.57703468,2.097890068,11.03550468,1.199570634,5.790446453,14.85680455,4.880925625,1.896762553,8.960154293,1.675144092,0.699168275,5.576068338,4.241951341,10.87088428,5.045810917,0.123709807,0.466802849,0.193801845,13.72518039,4.925754288,3.694644213,0,0.377969994,0.253929818,1.331591217,0.062953156,0.041939909,0.577981258,0.58808818,0,0,0,0.220300073,0,0.133124948,0.0969592,0.148486819
SNORD55:ENSG00000264294.1,0,0,1.262230928,17.12720294,14.08597967,29.40409233,0,0,0.396028919,0,0,0,10.10355683,5.258024148,3.532067642,0,0.682250317,6.744304203,21.29024045,4.196012912,0.832595879,0,0.881929985,0,0,0.157382891,0.041939909,0.73561251,0.274441151,0,0.266545179,0.449235012,0.302912601,0,0,0,0
